url,name,sku,brand,gtin13,description,product_id,availability,currency,price,images,avg_rating,reviews_count,product_details,specifications,5_stars,4_stars,3_stars,2_stars,1_star,uniq_id,scraped_at
https://www.walmart.com/ip/Terra-Sky-Women-s-Plus-Size-Pull-On-Drawstring-Linen-Shorts/166788467,Terra & Sky Women's Plus Size Pull-On Drawstring Linen Shorts,166788467,Terra & Sky,840189809694,short description is not available,,InStock,USD,14.98,https://i5.walmartimages.com/asr/fe8deee1-f7a2-4d5d-92f1-e52ccea0f425.0db8f12f0fe5c87e124420819ffdeebc.jpeg,4.6,11,,"[{'name': 'Clothing Size', 'value': '4X'}, {'name': 'Brand', 'value': 'Terra & Sky'}, {'name': 'Color', 'value': 'Silouette Ditsy/ Cherry Vanilla'}]",9,1,0,1,0,6f351372-10de-506a-91ec-9f1f5202adcc,28/01/2023 13:32:02
https://www.walmart.com/ip/Camo-Crme-Tube-Makeup-Hunters-Specialti/54739245,"Camo Crme Tube Makeup, Hunters Specialti",54739245,ONLINE,021291002702,Hunters Specialties Crème Tube Makeup (Mud Brown Camo),,OutOfStock,USD,1.87,https://i5.walmartimages.com/asr/ab44785d-14b7-4624-88b4-6da331488a11_1.f48b3cb41a6a80d8eb51e2303bd72ad5.jpeg,,,,"[{'name': 'Brand', 'value': 'ONLINE'}, {'name': 'Manufacturer Part Number', 'value': '00270'}, {'name': 'Color', 'value': 'Mud Brown'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '1.00 x 7.75 x 7.00 Inches'}]",0,0,0,0,0,74f8db6d-7cb4-501b-bb29-1a7e4b2bb352,28/01/2023 13:32:03
https://www.walmart.com/ip/Berkley-Lightning-Spinning-Rod/33607364,Berkley Lightning Spinning Rod,33607364,Berkley,028632550328,"This is North America's number one selling graphite rod. The Lightning Rod built its reputation on a unique combination of strength and sensitivity. Today, the Berkley Lightning Spinning Rod still is the fastest, strongest and lightest rod in its class.",,OutOfStock,USD,39.3,https://i5.walmartimages.com/asr/8a687646-dec2-4234-afe9-8853f32a5060.d86917062229bb4319b64ea8a3397bbc.png,4.5,123,,"[{'name': 'Brand', 'value': 'Berkley'}, {'name': 'Manufacturer Part Number', 'value': 'LR602MLS'}, {'name': 'Fishing Rod Type', 'value': 'Spinning Rods'}, {'name': 'Manufacturer', 'value': 'Berkley'}, {'name': 'Model', 'value': 'LR602MLS'}, {'name': 'Color', 'value': 'Black'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '72.00 x 2.50 x 1.00 Inches'}]",95,14,1,4,9,fbdee5b7-b822-589e-9b1e-90af93934af2,28/01/2023 13:32:07
https://www.walmart.com/ip/Designart-Cherry-Blossom-Flowers-In-Glass-Jar-Farmhouse-Framed-Canvas-Wall-Art-Print/955364422,Designart 'Cherry Blossom Flowers In Glass Jar' Farmhouse Framed Canvas Wall Art Print,955364422,Designart,759951359889,"""This exquisite Cherry Blossom In Glass Jar Framed Canvas Art brings beauty to your home and office. Every one of our fine art giclee canvas prints is printed using superior quality ink that is resistant to fading colors.<br>
Our fine art giclee canvas prints are printed on high quality cotton canvas. 
Each Artwork surface is tightly stretched over a 1 inch wood frame, protecting it from bending.
<br>
Just like in a real gallery, our artworks are gallery-wrapped : the designs continues on the sides. 
The finished canvas art is finally installed in a wood floating frame.
<br>
We garantee a secure delivery by meticulously packing and wrapping your artwork in a solid box with corner protection.
When you receive your Canvas Art, the hanging kit is included so it is ready to hang on the wall immediately.<br>
<br>
Features:<br>
- Style : Farmhouse<br>
- Subject : Floral, Farm<br>
- Color : Blue<br>
- Premium quality cotton canvas.<br>
- Arrives ready to hang on the wall<br>
- Easy to Hang""",,InStock,USD,41.69,https://i5.walmartimages.com/asr/c9f2dbe3-f325-4e08-a6a9-03d983dbe471.7e2d7e5982cdea7304094e0ebf496728.jpeg ~ https://i5.walmartimages.com/asr/cdb6b725-4cb0-4854-a818-5418845e9638.656be8e516256b3bdc45e33c88c37818.jpeg ~ https://i5.walmartimages.com/asr/d1e0b565-b04e-4004-ab9a-2bb1570421ae.d2f50074420a3aa7ab6a956745d7a353.jpeg ~ https://i5.walmartimages.com/asr/9e1f21ff-5a1b-4e50-8cfd-448a46fb57f8.b05ca396dc17a44dbfa6bc29f30216dc.jpeg ~ https://i5.walmartimages.com/asr/650e4d71-c2ab-4ad4-a6de-19d7497705a0.f93f8687409b728be3aeb1a535be29b6.jpeg,,,,"[{'name': 'Country of Origin - Textiles', 'value': 'Imported'}, {'name': 'Brand', 'value': 'Designart'}, {'name': 'Color', 'value': 'Blue'}, {'name': 'Size', 'value': '12 x 20'}, {'name': 'Assembled Product Weight', 'value': '3 lb'}, {'name': 'Material', 'value': 'Canvas, Wood, Ink'}, {'name': 'Framed', 'value': 'Y'}, {'name': 'Frame Color', 'value': 'Gold'}, {'name': 'Recommended Room', 'value': 'Living Room'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '20.00 x 12.00 x 1.00 Inches'}]",0,0,0,0,0,96844bcf-0e92-56bc-9d49-6530b7f49997,28/01/2023 13:32:11
https://www.walmart.com/ip/Ashgate-Studies-in-Medieval-Philosophy-Ockham-on-Concepts-Hardcover-9780754632283/693652184,Ashgate Studies in Medieval Philosophy: Ockham on Concepts (Hardcover),693652184,Claude Panaccio; Scott MacDonald; Christopher J Martin,,"William of Ockham (c.1287-1347) is known to be one of the major figures of the late Middle Ages. The scope and significance of his doctrine of human thought, however, has been a controversial issue among scholars in the last decade, and this book presents a full discussion of recent developments. Claude Panaccio proposes a richly documented and entirely original reinterpretation of Ockham's theory of concepts as a coherent blend of representationalism, conceptual atomism, and non reductionist nominalism, stressing in the process its special interest for current discussions in philosophy of mind and cognitive sciences.
William of Ockham (c.1287-1347) is known to be one of the major figures of the late Middle Ages. The scope and significance of his doctrine of human thought, however, has been a controversial issue among scholars in the last decade, and this book presents a full discussion of recent developments. Claude Panaccio proposes a richly documented and entirely original reinterpretation of Ockham's theory of concepts as a coherent blend of representationalism, conceptual atomism, and non reductionist nominalism, stressing in the process its special interest for current discussions in philosophy of mind and cognitive sciences.",,OutOfStock,USD,212.15,https://i5.walmartimages.com/asr/d253f073-2067-47b9-a6a8-4f81288978df_1.63596624157dfbfcf7666c638aed6290.jpeg,,,,"[{'name': 'Language', 'value': 'English'}, {'name': 'Series Title', 'value': 'Ashgate Studies in Medieval Philosophy'}, {'name': 'Publisher', 'value': 'Taylor & Francis'}, {'name': 'Book Format', 'value': 'Hardcover'}, {'name': 'Original Languages', 'value': 'English'}, {'name': 'Number of Pages', 'value': '210'}, {'name': 'Author', 'value': 'Claude Panaccio'}, {'name': 'Title', 'value': 'Ockham on Concepts'}, {'name': 'ISBN-13', 'value': '9780754632283'}, {'name': 'Publication Date', 'value': 'December, 2004'}, {'name': 'ISBN-10', 'value': '0754632288'}]",0,0,0,0,0,7d0cf2b0-878c-533b-bc35-f1be74c7b9e1,28/01/2023 13:32:24
https://www.walmart.com/ip/Home-Metal-Non-stick-Round-Shape-Baking-Cooking-Tool-Pie-Cake-Black/962896109,Home Metal Non-stick Round Shape Baking Cooking Tool Pie Cake Black,962896109,Unique Bargains,704478989200,"Home Metal Non-stick Round Shape Baking Cooking Tool Pie Cake BlackDescription:  Cake baking pan,a kitchen necessity for making cake or fondant. Also for baking&nbsp;quiches, pancakes, pies, pizza, etc. Can be used repeatedly. Made of metal, durable for using. &nbsp;",,OutOfStock,USD,16.97,https://i5.walmartimages.com/asr/47d4ce35-348a-404e-be6d-ebf644453968.6bb5d94f09fa2493efc01234a5747f7e.jpeg ~ https://i5.walmartimages.com/asr/40f64080-472d-4952-9bda-34850fb9248f.8f1b92ffdbd5f3c287eb0648b53016e2.jpeg ~ https://i5.walmartimages.com/asr/ec469508-77d7-4f36-ad26-dcb30eea69af.a288ccf183acecf3bf1ef08cc7160ccb.jpeg ~ https://i5.walmartimages.com/asr/5aeed946-e8bb-4e71-8f8c-67fced2e2b6a_1.378ee6d37ab34449aa5b78031d1d080a.jpeg ~ https://i5.walmartimages.com/asr/d9d1f211-c4ca-4c56-8b7b-0e07cc51202b_1.66e7d2c839ab4a652fa69ae269cd117d.jpeg,,,,"[{'name': 'Material', 'value': 'Metal'}, {'name': 'Brand', 'value': 'Unique Bargains'}]",0,0,0,0,0,3f3405d0-012c-570f-9f95-6a3122e3aa99,28/01/2023 13:32:31
https://www.walmart.com/ip/Women-s-V-Neck-Short-Sleeve-Pocket-T-Shirt/45584851,Women's V-Neck Short-Sleeve Pocket T-Shirt,45584851,Hanes,078715799540,Hanes Women's V-Neck Short-Sleeve Pocket T-Shirt is made with a soft cotton blend you'll love. The look and fit as just as suitable for work as play.,,OutOfStock,USD,5.95,https://i5.walmartimages.com/asr/adde010b-b00d-44e1-9be2-ee3eebc8fb17_1.dc8f631744bbb25022f834123ee4c2e6.jpeg,,,,"[{'name': 'Size', 'value': 'S'}, {'name': 'Sleeve Length Style', 'value': 'Short Sleeve'}, {'name': 'Fabric Content', 'value': '60% cotton / 28% polyester / 12% rayon'}, {'name': 'Clothing Neck Style', 'value': 'V-Neck'}, {'name': 'Brand', 'value': 'Hanes'}, {'name': 'Color', 'value': 'Purple, Violet Splendor'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '6.00 x 6.00 x 1.00 Inches'}]",0,0,0,0,0,cc0fe123-d4d9-5f0e-90a8-f0301e049c1d,28/01/2023 13:32:47
https://www.walmart.com/ip/Annual-Report-of-the-Postmaster-General-Hardcover-9781343837003/369183989,Annual Report Of The Postmaster General (Hardcover),369183989,United States Post Office Dept,,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.<br><br>This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br><br>As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",,OutOfStock,USD,39.95,https://i5.walmartimages.com/asr/fc291513-37a8-44a9-bad7-c74161f5de61_1.f294e0e9d3060d2a66fd03a8bd79d5f3.jpeg,,,,"[{'name': 'Language', 'value': 'English'}, {'name': 'Publisher', 'value': 'Creative Media Partners, LLC'}, {'name': 'Book Format', 'value': 'Hardcover'}, {'name': 'Number of Pages', 'value': '868'}, {'name': 'Author', 'value': 'United States Post Office Dept'}, {'name': 'Title', 'value': 'Annual Report Of The Postmaster General'}, {'name': 'ISBN-13', 'value': '9781343837003'}, {'name': 'Publication Date', 'value': 'October, 2015'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '9.21 x 6.14 x 1.81 Inches'}, {'name': 'ISBN-10', 'value': '1343837006'}]",0,0,0,0,0,d6d54430-b6b7-522d-ad32-3ce6da7ab566,28/01/2023 13:32:47
https://www.walmart.com/ip/Histoire-Recueil-Des-Documents-Diplomatiques-Relatifs-La-L-gation-Fran-aise-En-Chine-Paperback-9782013356176/858146760,Histoire: Recueil Des Documents Diplomatiques Relatifs À La Légation Française En Chine (Paperback),858146760,Marie-Melchior-Joseph-Théodore de Lagrené; Ki-In,,"Recueil des documents diplomatiques relatifs à la Légation française en Chine, traduits du français en chinois et du chinois en français par J. M. Callery, ...<br>Date de l'édition originale: 1845-1846<br><br>Le présent ouvrage s'inscrit dans une politique de conservation patrimoniale des ouvrages de la littérature Française mise en place avec la BNF.<br>HACHETTE LIVRE et la BNF proposent ainsi un catalogue de titres indisponibles, la BNF ayant numérisé ces oeuvres et HACHETTE LIVRE les imprimant à la demande.<br>Certains de ces ouvrages reflètent des courants de pensée caractéristiques de leur époque, mais qui seraient aujourd'hui jugés condamnables.<br>Ils n'en appartiennent pas moins à l'histoire des idées en France et sont susceptibles de présenter un intérêt scientifique ou historique.<br>Le sens de notre démarche éditoriale consiste ainsi à permettre l'accès à ces oeuvres sans pour autant que nous en cautionnions en aucune façon le contenu.<br><br>Pour plus d'informations, rendez-vous sur www.hachettebnf.fr<br>",,InStock,USD,23.95,https://i5.walmartimages.com/asr/bec33344-88af-41d1-9ec9-5293d6d3402f_1.049f777e7b2c3809e001d8a89ba3f078.jpeg,,,,"[{'name': 'Language', 'value': 'French'}, {'name': 'Series Title', 'value': 'Histoire'}, {'name': 'Publisher', 'value': 'Hachette Livre - BNF'}, {'name': 'Book Format', 'value': 'Paperback'}, {'name': 'Number of Pages', 'value': '314'}, {'name': 'Author', 'value': 'Ki-In, Marie-Melchior-Joseph-Théodore de Lagrené'}, {'name': 'Title', 'value': 'Recueil Des Documents Diplomatiques Relatifs À La Légation Française En Chine'}, {'name': 'ISBN-13', 'value': '9782013356176'}, {'name': 'Publication Date', 'value': 'August, 2013'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '9.21 x 6.14 x 0.66 Inches'}, {'name': 'ISBN-10', 'value': '201335617X'}]",0,0,0,0,0,d449856e-5747-5435-a971-f48a8bbf28f1,28/01/2023 13:33:04
https://www.walmart.com/ip/Logo-Brands-24-Cans-Soft-Sided-Orange/39534836,"Logo Brands 24 Cans Soft Sided, Orange",39534836,Logo Brands,806293178637,"<p>Show your team support with this Missouri Cooler. It is made of a 600-denier polyester fabric and lined with a heat-sealed, leak-proof interior. The shoulder strap cooler has a front zipper pocket for storage and features sporty contrasting accents and an embroidered team logo. This item is ideal for picnics, camping, sports events or other outdoor activities.</p>",,OutOfStock,USD,37.95,https://i5.walmartimages.com/asr/90f8424c-497e-4501-ba0a-08b3ef5e1e56_1.065983220793091d2be3d1284411382e.jpeg ~ https://i5.walmartimages.com/asr/4def09ac-745f-4933-9f04-cc573e30a1a1_1.4542a35bedd9dcd4411a8db78f738e47.jpeg,,,,"[{'name': 'Features', 'value': 'Embroidered, Storage'}, {'name': 'Brand', 'value': 'Logo Brands'}, {'name': 'Manufacturer Part Number', 'value': '178-63'}, {'name': 'Manufacturer', 'value': 'Logo Chair Inc'}, {'name': 'Assembled Product Dimensions (L x W x H)', 'value': '12.00 x 8.00 x 10.00 Inches'}]",0,0,0,0,0,4400903c-0160-5fc7-aabd-24ccbeae1f8a,28/01/2023 13:33:06
